# SpotBugs LOW-confidence reviewed inventory.
# Format: type|priority|class|method|methodDescriptor|field|fieldDescriptor|count
# Every change requires review against documentation/StaticAnalysis.md.
EI_EXPOSE_REP|2|com.googlecode.cqengine.engine.CollectionQueryEngine$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.engine.CollectionQueryEngine$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.entity.MapEntity|getWrappedMap|()Ljava/util/Map;|wrappedMap|Ljava/util/Map;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.compound.CompoundIndex$1|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.fallback.FallbackIndex$1|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.hash.HashIndex$3|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.navigable.NavigableIndex$6|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radix.RadixTreeIndex$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radix.RadixTreeIndex$4|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
EI_EXPOSE_REP|2|com.googlecode.cqengine.index.radixinverted.InvertedRadixTreeIndex$2|getQueryOptions|()Lcom/googlecode/cqengine/query/option/QueryOptions;|val$queryOptions|Lcom/googlecode/cqengine/query/option/QueryOptions;|1
